"Core","SampleAssignment","Moisture","Wetting","Suction","Homogenization","Amendments","class","abund","total","relabund"
15,"50-drought-groundw-control-Intact","drought","groundw",50,"Intact","control","condensed_arom",192,884,21.72
15,"50-drought-groundw-control-Intact","drought","groundw",50,"Intact","control","unsaturated/lignin",506,884,57.24
17,"1.5-drought-precip-control-Homogenized","drought","precip",1.5,"Homogenized","control","aliphatic",367,1833,20.02
17,"1.5-drought-precip-control-Homogenized","drought","precip",1.5,"Homogenized","control","aromatic",266,1833,14.51
17,"1.5-drought-precip-control-Homogenized","drought","precip",1.5,"Homogenized","control","condensed_arom",197,1833,10.75
17,"1.5-drought-precip-control-Homogenized","drought","precip",1.5,"Homogenized","control","unsaturated/lignin",1003,1833,54.72
17,"1.5-drought-precip-control-Intact","drought","precip",1.5,"Intact","control","aliphatic",394,1415,27.84
17,"1.5-drought-precip-control-Intact","drought","precip",1.5,"Intact","control","aromatic",90,1415,6.36
17,"1.5-drought-precip-control-Intact","drought","precip",1.5,"Intact","control","condensed_arom",152,1415,10.74
17,"1.5-drought-precip-control-Intact","drought","precip",1.5,"Intact","control","unsaturated/lignin",779,1415,55.05
17,"50-drought-precip-control-Homogenized","drought","precip",50,"Homogenized","control","aliphatic",249,1473,16.9
17,"50-drought-precip-control-Homogenized","drought","precip",50,"Homogenized","control","aromatic",252,1473,17.11
17,"50-drought-precip-control-Homogenized","drought","precip",50,"Homogenized","control","condensed_arom",145,1473,9.84
17,"50-drought-precip-control-Homogenized","drought","precip",50,"Homogenized","control","unsaturated/lignin",827,1473,56.14
17,"50-drought-precip-control-Intact","drought","precip",50,"Intact","control","aliphatic",369,2140,17.24
17,"50-drought-precip-control-Intact","drought","precip",50,"Intact","control","aromatic",351,2140,16.4
17,"50-drought-precip-control-Intact","drought","precip",50,"Intact","control","condensed_arom",237,2140,11.07
17,"50-drought-precip-control-Intact","drought","precip",50,"Intact","control","unsaturated/lignin",1183,2140,55.28
18,"1.5-fm-precip-control-Homogenized","fm","precip",1.5,"Homogenized","control","aliphatic",323,1246,25.92
18,"1.5-fm-precip-control-Homogenized","fm","precip",1.5,"Homogenized","control","aromatic",187,1246,15.01
18,"1.5-fm-precip-control-Homogenized","fm","precip",1.5,"Homogenized","control","condensed_arom",142,1246,11.4
18,"1.5-fm-precip-control-Homogenized","fm","precip",1.5,"Homogenized","control","unsaturated/lignin",594,1246,47.67
18,"1.5-fm-precip-control-Intact","fm","precip",1.5,"Intact","control","aliphatic",280,694,40.35
18,"1.5-fm-precip-control-Intact","fm","precip",1.5,"Intact","control","aromatic",19,694,2.74
18,"1.5-fm-precip-control-Intact","fm","precip",1.5,"Intact","control","condensed_arom",89,694,12.82
18,"1.5-fm-precip-control-Intact","fm","precip",1.5,"Intact","control","unsaturated/lignin",306,694,44.09
18,"50-fm-precip-control-Homogenized","fm","precip",50,"Homogenized","control","aliphatic",705,2408,29.28
18,"50-fm-precip-control-Homogenized","fm","precip",50,"Homogenized","control","aromatic",342,2408,14.2
18,"50-fm-precip-control-Homogenized","fm","precip",50,"Homogenized","control","condensed_arom",360,2408,14.95
18,"50-fm-precip-control-Homogenized","fm","precip",50,"Homogenized","control","unsaturated/lignin",1001,2408,41.57
18,"50-fm-precip-control-Intact","fm","precip",50,"Intact","control","aliphatic",397,1418,28
